=========================================
Written 1-grams: 
      35 was not
      35 in june
      35 the club
      34 the new
      34 endemic to
      34 was published
      34 has also
      34 the show
      34 on april
      34 he became
      34 and two
      34 died at
      33 in his
      33 film was
      33 in august
      33 in 2011
      33 of his
      33 of a
      33 his wife
      33 on 1
      33 on december
      32 album was
      32 was opened
      32 member of
      32 the two
      32 in 2006
      32 in this
      32 on june
      31 is endemic
      31 the song
      31 was later
      31 in 2017
      31 the building
      31 was educated
      31 the second
      31 the final
      31 he graduated
      31 in 2003
      30 was founded
      30 up in
      30 owned by
      30 in july
      30 this species
      30 established in
      30 in may
      30 more than
      30 will be
      30 in october
      30 consists of
      30 he served
      30 station opened
      30 on may
      30 played for
      29 the nearest
      29 in 2020
      29 the next
      29 he moved
      29 station is
      29 does not
      29 was waived
      29 his father
      29 in 2007
      29 based on
      29 took place
      29 however the
      29 in 2009
      28 buried in
      28 the race
      28 grew up
      28 is divided
      28 was married
      28 he retired
      28 was produced
      28 via unanimous
      28 is currently
      28 the main
      28 has an
      28 was held
      28 are in
      27 built in
      27 there was
      27 in march
      27 on october
      27 on a
      27 the team
      27 in 2010
      26 had been
      26 school in
      26 in december
      26 served as
      26 appeared in
      26 waived on
      26 educated at
      26 in 2012
      26 fight via
      26 as an
      26 on march
      26 and a
      26 the project
      25 in 2001
      25 the church
      25 he joined
      25 the season
      25 a few
      25 in germany
      25 are the
      25 in november
      25 through the
      25 he made
      25 as well
      25 is unknown
      25 is named
      25 are not
      25 she had
      24 was buried
      24 the book
      24 is part
      24 a new
      24 in 2015
      24 in 2014
      24 also known
      24 is called
      24 two daughters
      24 in 2004
      24 in new
      23 the family
      23 united states
      23 his brother
      23 under the
      23 now a
      23 the war
      23 in 1997
      23 directed by
      23 from critics
      23 she married
      23 a village
      23 village in
      23 composed by
      23 the area
      22 known from
=========================================
Spoken 2-grams: 
=========================================
=========================================
Written 3-grams: 
=========================================
=========================================
Spoken 3-grams: 
=========================================
